date,year,borough,unit_type,monthly_rent,vacancy_rate
2020-08-16,2020,Plateau-Mont-Royal,3BR,2243.0,0.0261
2020-02-16,2020,Plateau-Mont-Royal,3BR,2352.0,0.0153
2020-01-01,2020,Plateau-Mont-Royal,3BR,2459.0,0.0356
2020-05-23,2020,Plateau-Mont-Royal,3BR,2415.0,0.0442
2020-11-25,2020,Plateau-Mont-Royal,3BR,2268.0,0.0281
2020-01-08,2020,Plateau-Mont-Royal,3BR,2589.0,0.0179
2020-05-15,2020,Plateau-Mont-Royal,3BR,2285.0,0.0156
2020-08-07,2020,Plateau-Mont-Royal,3BR,2385.0,0.01
2020-05-24,2020,Plateau-Mont-Royal,3BR,1970.0,0.0183
2020-08-07,2020,Plateau-Mont-Royal,3BR,2089.0,0.01
2020-02-04,2020,Plateau-Mont-Royal,3BR,2089.0,0.022
2020-01-10,2020,Plateau-Mont-Royal,3BR,2334.0,0.0408
2020-08-11,2020,Plateau-Mont-Royal,3BR,2411.0,0.0213
2020-11-10,2020,Plateau-Mont-Royal,3BR,2095.0,0.0404
2020-04-07,2020,Plateau-Mont-Royal,3BR,2252.0,0.0288
2020-05-12,2020,Plateau-Mont-Royal,3BR,2264.0,0.0451
2020-02-22,2020,Plateau-Mont-Royal,4BR+,2694.0,0.0265
2020-01-01,2020,Plateau-Mont-Royal,4BR+,2625.0,0.01
2020-10-14,2020,Plateau-Mont-Royal,4BR+,2719.0,0.0311
2020-04-27,2020,Plateau-Mont-Royal,4BR+,2692.0,0.0217
2020-02-23,2020,Plateau-Mont-Royal,4BR+,2581.0,0.0349
2020-09-11,2020,Plateau-Mont-Royal,4BR+,2782.0,0.0394
2020-04-12,2020,Plateau-Mont-Royal,4BR+,3014.0,0.0348
2020-10-12,2020,Plateau-Mont-Royal,4BR+,2921.0,0.01
2020-11-03,2020,Plateau-Mont-Royal,4BR+,2506.0,0.0272
2020-11-30,2020,Plateau-Mont-Royal,4BR+,2256.0,0.0456
2020-02-20,2020,Plateau-Mont-Royal,4BR+,3044.0,0.0122
2020-05-17,2020,Plateau-Mont-Royal,4BR+,2901.0,0.0325
2020-12-05,2020,Plateau-Mont-Royal,4BR+,2690.0,0.034
2020-02-22,2020,Plateau-Mont-Royal,4BR+,2776.0,0.0257
2020-02-12,2020,Plateau-Mont-Royal,4BR+,2445.0,0.02
2020-09-05,2020,Plateau-Mont-Royal,4BR+,2666.0,0.0252
2020-01-08,2020,Plateau-Mont-Royal,4BR+,3197.0,0.015
2020-10-07,2020,Plateau-Mont-Royal,4BR+,2813.0,0.0169
2020-04-02,2020,Plateau-Mont-Royal,4BR+,2679.0,0.0356
2020-02-20,2020,Plateau-Mont-Royal,4BR+,2709.0,0.0295
2020-11-21,2020,Plateau-Mont-Royal,4BR+,2517.0,0.0204
2020-12-11,2020,Plateau-Mont-Royal,4BR+,2670.0,0.0156
2020-10-08,2020,Plateau-Mont-Royal,4BR+,2430.0,0.0144
2020-08-26,2020,Plateau-Mont-Royal,4BR+,2804.0,0.038
2020-02-17,2020,Plateau-Mont-Royal,4BR+,2429.0,0.0264
2020-09-13,2020,Plateau-Mont-Royal,4BR+,2669.0,0.0238
2020-06-28,2020,Plateau-Mont-Royal,4BR+,2732.0,0.0182
2020-08-01,2020,Plateau-Mont-Royal,4BR+,2575.0,0.0137
2020-03-18,2020,Plateau-Mont-Royal,4BR+,2858.0,0.0182
2020-01-14,2020,Plateau-Mont-Royal,4BR+,3047.0,0.0235
2020-12-28,2020,Plateau-Mont-Royal,4BR+,2880.0,0.0307
2020-10-20,2020,Plateau-Mont-Royal,4BR+,2483.0,0.0268
2020-04-28,2020,Plateau-Mont-Royal,4BR+,2347.0,0.028
2020-09-29,2020,Plateau-Mont-Royal,4BR+,2653.0,0.0255
2020-10-26,2020,Plateau-Mont-Royal,4BR+,2554.0,0.0152
2020-01-25,2020,Plateau-Mont-Royal,4BR+,2541.0,0.0141
2020-04-18,2020,Plateau-Mont-Royal,4BR+,2920.0,0.0325
2020-02-03,2020,Plateau-Mont-Royal,4BR+,3247.0,0.0198
2020-08-23,2020,Plateau-Mont-Royal,4BR+,3142.0,0.0399
2020-01-06,2020,Plateau-Mont-Royal,4BR+,2609.0,0.0193
2020-11-10,2020,Ville-Marie,Studio,1192.0,0.0314
2020-10-15,2020,Ville-Marie,Studio,1173.0,0.0243
2020-12-15,2020,Ville-Marie,Studio,1151.0,0.01
2020-04-04,2020,Ville-Marie,Studio,1115.0,0.0144
2020-03-15,2020,Ville-Marie,Studio,1187.0,0.0321
2020-04-03,2020,Ville-Marie,Studio,1193.0,0.0257
2020-07-12,2020,Ville-Marie,Studio,1217.0,0.0132
2020-06-21,2020,Ville-Marie,Studio,1362.0,0.0392
2020-04-27,2020,Ville-Marie,Studio,1108.0,0.0287
2020-01-20,2020,Ville-Marie,Studio,1085.0,0.0294
2020-03-30,2020,Ville-Marie,Studio,1128.0,0.0199
2020-05-18,2020,Ville-Marie,Studio,1150.0,0.0244
2020-09-15,2020,Ville-Marie,Studio,1152.0,0.0278
2020-01-10,2020,Ville-Marie,Studio,1157.0,0.0189
2020-01-13,2020,Ville-Marie,Studio,1357.0,0.0428
2020-11-14,2020,Ville-Marie,Studio,1116.0,0.0256
2020-02-07,2020,Ville-Marie,Studio,1274.0,0.0307
2020-10-31,2020,Ville-Marie,Studio,1005.0,0.0127
2020-11-29,2020,Ville-Marie,Studio,1213.0,0.0294
2020-01-01,2020,Ville-Marie,Studio,1123.0,0.0106
2020-11-15,2020,Ville-Marie,Studio,1216.0,0.0388
2020-08-16,2020,Ville-Marie,Studio,1225.0,0.028
2020-07-31,2020,Ville-Marie,Studio,1125.0,0.0187
2020-03-18,2020,Ville-Marie,Studio,1117.0,0.0162
2020-08-24,2020,Ville-Marie,Studio,964.0,0.0266
2020-11-23,2020,Ville-Marie,Studio,1331.0,0.0312
2020-06-27,2020,Ville-Marie,Studio,980.0,0.0129
2020-03-03,2020,Ville-Marie,Studio,1237.0,0.0451
2020-08-12,2020,Ville-Marie,Studio,1022.0,0.0232
2020-11-04,2020,Ville-Marie,Studio,1235.0,0.01
2020-07-16,2020,Ville-Marie,Studio,1193.0,0.0307
2020-02-11,2020,Ville-Marie,Studio,1186.0,0.0287
2020-06-05,2020,Ville-Marie,Studio,1202.0,0.0188
2020-06-05,2020,Ville-Marie,Studio,1330.0,0.0227
2020-10-15,2020,Ville-Marie,Studio,1127.0,0.0145
2020-01-10,2020,Ville-Marie,Studio,1177.0,0.0182
2020-04-27,2020,Ville-Marie,Studio,1324.0,0.0226
2020-09-17,2020,Ville-Marie,Studio,1291.0,0.0186
2020-06-21,2020,Ville-Marie,Studio,930.0,0.0191
2020-08-30,2020,Ville-Marie,Studio,1252.0,0.0366
2020-10-09,2020,Ville-Marie,1BR,1800.0,0.0282
2020-11-25,2020,Ville-Marie,1BR,1449.0,0.0179
2020-01-23,2020,Ville-Marie,1BR,1434.0,0.0162
2020-08-05,2020,Ville-Marie,1BR,1666.0,0.0224
2020-04-20,2020,Ville-Marie,1BR,1606.0,0.0494
2020-12-21,2020,Ville-Marie,1BR,1665.0,0.0386
2020-02-20,2020,Ville-Marie,1BR,1507.0,0.036
2020-08-01,2020,Ville-Marie,1BR,1607.0,0.024
2020-06-30,2020,Ville-Marie,1BR,1504.0,0.018
2020-02-24,2020,Ville-Marie,1BR,1524.0,0.0325
2020-11-04,2020,Ville-Marie,1BR,1652.0,0.01
2020-04-26,2020,Ville-Marie,1BR,1719.0,0.0172
2020-08-31,2020,Ville-Marie,1BR,1468.0,0.0255
2020-07-28,2020,Ville-Marie,1BR,1688.0,0.0237
2020-05-07,2020,Ville-Marie,1BR,1690.0,0.0226
2020-06-27,2020,Ville-Marie,1BR,1551.0,0.01
2020-06-28,2020,Ville-Marie,1BR,1643.0,0.01
2020-06-25,2020,Ville-Marie,1BR,1685.0,0.0214
2020-06-02,2020,Ville-Marie,1BR,1493.0,0.0321
2020-03-03,2020,Ville-Marie,1BR,1549.0,0.0119
2020-09-13,2020,Ville-Marie,1BR,1584.0,0.0246
2020-07-29,2020,Ville-Marie,1BR,1473.0,0.01
2020-10-31,2020,Ville-Marie,1BR,1527.0,0.01
2020-01-19,2020,Ville-Marie,1BR,1579.0,0.0176
2020-04-22,2020,Ville-Marie,1BR,1759.0,0.01
2020-11-14,2020,Ville-Marie,1BR,1741.0,0.01
2020-02-24,2020,Ville-Marie,1BR,1546.0,0.0158
2020-06-10,2020,Ville-Marie,1BR,1565.0,0.0283
2020-10-14,2020,Ville-Marie,1BR,1538.0,0.0223
2020-11-16,2020,Ville-Marie,1BR,1702.0,0.0357
2020-09-11,2020,Ville-Marie,1BR,1378.0,0.0264
2020-04-06,2020,Ville-Marie,1BR,1517.0,0.0279
2020-10-17,2020,Ville-Marie,1BR,1801.0,0.0274
2020-04-29,2020,Ville-Marie,1BR,1687.0,0.0136
2020-01-07,2020,Ville-Marie,1BR,1369.0,0.014
2020-03-25,2020,Ville-Marie,1BR,1756.0,0.0307
2020-01-02,2020,Ville-Marie,1BR,1372.0,0.0406
2020-01-11,2020,Ville-Marie,1BR,1612.0,0.0305
2020-04-28,2020,Ville-Marie,1BR,1494.0,0.01
2020-09-12,2020,Ville-Marie,1BR,1679.0,0.01
2020-12-20,2020,Ville-Marie,2BR,1664.0,0.04
2020-05-07,2020,Ville-Marie,2BR,2152.0,0.0227
2020-07-27,2020,Ville-Marie,2BR,1986.0,0.01
2020-08-24,2020,Ville-Marie,2BR,2046.0,0.01
2020-10-04,2020,Ville-Marie,2BR,1780.0,0.0183
2020-08-02,2020,Ville-Marie,2BR,1791.0,0.024
2020-05-07,2020,Ville-Marie,2BR,2148.0,0.0284
2020-02-03,2020,Ville-Marie,2BR,2028.0,0.0132
2020-03-16,2020,Ville-Marie,2BR,2317.0,0.0302
2020-09-24,2020,Ville-Marie,2BR,2038.0,0.0328
2020-06-21,2020,Ville-Marie,2BR,1981.0,0.046
2020-07-08,2020,Ville-Marie,2BR,1945.0,0.0344
2020-11-05,2020,Ville-Marie,2BR,1897.0,0.0233
2020-10-18,2020,Ville-Marie,2BR,1941.0,0.025
2020-06-12,2020,Ville-Marie,2BR,1961.0,0.0351
2020-08-14,2020,Ville-Marie,2BR,1841.0,0.0335
2020-05-31,2020,Ville-Marie,2BR,1976.0,0.0286
2020-10-15,2020,Ville-Marie,2BR,2012.0,0.0248
2020-08-14,2020,Ville-Marie,2BR,2044.0,0.01
2020-12-30,2020,Ville-Marie,2BR,2034.0,0.0253
2020-03-13,2020,Ville-Marie,2BR,2056.0,0.0125
2020-08-04,2020,Ville-Marie,2BR,2025.0,0.0197
2020-01-25,2020,Ville-Marie,2BR,2119.0,0.039
2020-08-16,2020,Ville-Marie,2BR,2110.0,0.0174
2020-10-31,2020,Ville-Marie,2BR,2154.0,0.0171
2020-11-13,2020,Ville-Marie,2BR,1786.0,0.0207
2020-07-16,2020,Ville-Marie,2BR,2202.0,0.0299
2020-12-30,2020,Ville-Marie,2BR,2213.0,0.0333
2020-01-16,2020,Ville-Marie,2BR,1947.0,0.0242
2020-09-26,2020,Ville-Marie,2BR,2127.0,0.0243
2020-06-24,2020,Ville-Marie,2BR,2054.0,0.0171
2020-03-22,2020,Ville-Marie,2BR,1965.0,0.0134
2020-04-12,2020,Ville-Marie,2BR,2213.0,0.01
2020-04-17,2020,Ville-Marie,2BR,2012.0,0.0184
2020-07-01,2020,Ville-Marie,2BR,1830.0,0.0358
2020-01-04,2020,Ville-Marie,2BR,2227.0,0.01
2020-07-28,2020,Ville-Marie,2BR,1893.0,0.0334
2020-04-17,2020,Ville-Marie,2BR,1574.0,0.0303
2020-04-05,2020,Ville-Marie,2BR,2010.0,0.0337
2020-11-13,2020,Ville-Marie,2BR,2192.0,0.0162
2020-08-23,2020,Ville-Marie,3BR,2934.0,0.0194
2020-03-05,2020,Ville-Marie,3BR,2145.0,0.01
2020-05-21,2020,Ville-Marie,3BR,2395.0,0.0202
2020-05-25,2020,Ville-Marie,3BR,2634.0,0.0185
2020-12-09,2020,Ville-Marie,3BR,2095.0,0.0109
2020-07-16,2020,Ville-Marie,3BR,2350.0,0.031
2020-08-13,2020,Ville-Marie,3BR,2643.0,0.0251
2020-11-25,2020,Ville-Marie,3BR,2710.0,0.0392
2020-08-28,2020,Ville-Marie,3BR,2453.0,0.018
2020-08-02,2020,Ville-Marie,3BR,2581.0,0.0349
2020-03-02,2020,Ville-Marie,3BR,2760.0,0.0173
2020-03-29,2020,Ville-Marie,3BR,2922.0,0.0163
2020-04-07,2020,Ville-Marie,3BR,2785.0,0.041
2020-05-02,2020,Ville-Marie,3BR,2033.0,0.0142
2020-09-17,2020,Ville-Marie,3BR,2586.0,0.0338
2020-05-03,2020,Ville-Marie,3BR,2299.0,0.0327
2020-06-24,2020,Ville-Marie,3BR,2205.0,0.0157
2020-11-11,2020,Ville-Marie,3BR,2312.0,0.0229
2020-04-24,2020,Ville-Marie,3BR,2487.0,0.0333
2020-12-19,2020,Ville-Marie,3BR,2382.0,0.0334
2020-10-15,2020,Ville-Marie,3BR,2697.0,0.0243
2020-06-16,2020,Ville-Marie,3BR,2526.0,0.0261
2020-10-30,2020,Ville-Marie,3BR,2352.0,0.0183
2020-12-10,2020,Ville-Marie,3BR,2641.0,0.0281
2020-05-12,2020,Ville-Marie,3BR,2295.0,0.0289
2020-06-06,2020,Ville-Marie,3BR,2405.0,0.0147
2020-01-12,2020,Ville-Marie,3BR,2789.0,0.0264
2020-01-17,2020,Ville-Marie,3BR,2516.0,0.0235
2020-12-09,2020,Ville-Marie,3BR,2422.0,0.0142
2020-03-14,2020,Ville-Marie,3BR,2435.0,0.0249
2020-02-29,2020,Ville-Marie,3BR,2714.0,0.0206
2020-10-04,2020,Ville-Marie,3BR,2589.0,0.016
2020-08-29,2020,Ville-Marie,3BR,2513.0,0.0271
2020-07-11,2020,Ville-Marie,3BR,2628.0,0.0328
2020-09-07,2020,Ville-Marie,3BR,2362.0,0.0421
2020-01-07,2020,Ville-Marie,3BR,2551.0,0.0177
2020-02-27,2020,Ville-Marie,3BR,2704.0,0.0184
2020-04-08,2020,Ville-Marie,3BR,2613.0,0.0225
2020-10-11,2020,Ville-Marie,3BR,2235.0,0.0212
2020-05-09,2020,Ville-Marie,3BR,2276.0,0.0301
2020-01-27,2020,Ville-Marie,4BR+,2854.0,0.0303
2020-02-27,2020,Ville-Marie,4BR+,2582.0,0.0173
2020-06-11,2020,Ville-Marie,4BR+,2971.0,0.0265
2020-01-12,2020,Ville-Marie,4BR+,3047.0,0.0207
2020-01-27,2020,Ville-Marie,4BR+,2747.0,0.0486
2020-03-19,2020,Ville-Marie,4BR+,3112.0,0.0276
2020-07-17,2020,Ville-Marie,4BR+,3424.0,0.01
2020-06-29,2020,Ville-Marie,4BR+,2801.0,0.0262
2020-08-09,2020,Ville-Marie,4BR+,2990.0,0.01
2020-06-14,2020,Ville-Marie,4BR+,2865.0,0.041
2020-08-01,2020,Ville-Marie,4BR+,2890.0,0.0184
2020-12-09,2020,Ville-Marie,4BR+,2644.0,0.0286
2020-07-27,2020,Ville-Marie,4BR+,3101.0,0.0226
2020-04-04,2020,Ville-Marie,4BR+,2920.0,0.01
2020-08-04,2020,Ville-Marie,4BR+,3248.0,0.0357
2020-09-23,2020,Ville-Marie,4BR+,3120.0,0.0278
2020-03-16,2020,Ville-Marie,4BR+,2795.0,0.0225
2020-05-27,2020,Ville-Marie,4BR+,3612.0,0.0228
2020-08-29,2020,Ville-Marie,4BR+,3316.0,0.0164
2020-10-15,2020,Ville-Marie,4BR+,3080.0,0.01
2020-04-12,2020,Ville-Marie,4BR+,2915.0,0.0338
2020-06-22,2020,Ville-Marie,4BR+,3077.0,0.0124
2020-04-15,2020,Ville-Marie,4BR+,3252.0,0.0285
2020-01-09,2020,Ville-Marie,4BR+,3369.0,0.0322
2020-09-20,2020,Ville-Marie,4BR+,3469.0,0.0266
2020-03-24,2020,Ville-Marie,4BR+,3065.0,0.0282
2020-01-07,2020,Ville-Marie,4BR+,3284.0,0.0176
2020-11-09,2020,Ville-Marie,4BR+,3187.0,0.0428
2020-05-06,2020,Ville-Marie,4BR+,3005.0,0.038
2020-01-12,2020,Ville-Marie,4BR+,3450.0,0.025
2020-10-27,2020,Ville-Marie,4BR+,2872.0,0.0182
2020-08-25,2020,Ville-Marie,4BR+,2652.0,0.0335
2020-04-28,2020,Ville-Marie,4BR+,2779.0,0.0177
2020-10-26,2020,Ville-Marie,4BR+,2893.0,0.0222
2020-05-29,2020,Ville-Marie,4BR+,3448.0,0.0274
2020-02-28,2020,Ville-Marie,4BR+,3152.0,0.01
2020-02-04,2020,Ville-Marie,4BR+,2756.0,0.0286
2020-07-25,2020,Ville-Marie,4BR+,2929.0,0.01
2020-12-15,2020,Ville-Marie,4BR+,2967.0,0.01
2020-01-24,2020,Ville-Marie,4BR+,3007.0,0.028
2020-12-29,2020,Rosemont,Studio,775.0,0.02
2020-02-19,2020,Rosemont,Studio,912.0,0.0448
2020-09-06,2020,Rosemont,Studio,927.0,0.0395
2020-03-06,2020,Rosemont,Studio,903.0,0.0468
2020-10-21,2020,Rosemont,Studio,1006.0,0.0334
