date,year,borough,property_type,sale_price,days_on_market
2020-04-20,2020,Plateau-Mont-Royal,Duplex,798000.0,27
2020-11-13,2020,Plateau-Mont-Royal,Duplex,735000.0,18
2020-08-02,2020,Plateau-Mont-Royal,Duplex,705000.0,31
2020-07-07,2020,Plateau-Mont-Royal,Duplex,785000.0,45
2020-02-23,2020,Plateau-Mont-Royal,Duplex,520000.0,51
2020-03-01,2020,Plateau-Mont-Royal,Duplex,761000.0,26
2020-01-25,2020,Plateau-Mont-Royal,Duplex,620000.0,91
2020-01-27,2020,Plateau-Mont-Royal,Duplex,823000.0,23
2020-02-26,2020,Plateau-Mont-Royal,Duplex,622000.0,66
2020-10-06,2020,Plateau-Mont-Royal,Single-Family,713000.0,36
2020-09-02,2020,Plateau-Mont-Royal,Single-Family,608000.0,14
2020-10-30,2020,Plateau-Mont-Royal,Single-Family,663000.0,41
2020-07-01,2020,Plateau-Mont-Royal,Single-Family,481000.0,54
2020-06-04,2020,Plateau-Mont-Royal,Single-Family,583000.0,54
2020-10-03,2020,Plateau-Mont-Royal,Single-Family,630000.0,51
2020-10-27,2020,Plateau-Mont-Royal,Single-Family,538000.0,16
2020-09-07,2020,Plateau-Mont-Royal,Single-Family,661000.0,43
2020-03-11,2020,Plateau-Mont-Royal,Single-Family,571000.0,42
2020-04-01,2020,Plateau-Mont-Royal,Single-Family,466000.0,36
2020-06-27,2020,Plateau-Mont-Royal,Single-Family,697000.0,59
2020-02-07,2020,Plateau-Mont-Royal,Single-Family,651000.0,14
2020-01-31,2020,Plateau-Mont-Royal,Single-Family,637000.0,21
2020-06-27,2020,Plateau-Mont-Royal,Single-Family,530000.0,22
2020-07-18,2020,Plateau-Mont-Royal,Single-Family,626000.0,65
2020-01-18,2020,Plateau-Mont-Royal,Single-Family,655000.0,42
2020-02-10,2020,Plateau-Mont-Royal,Single-Family,550000.0,31
2020-07-27,2020,Plateau-Mont-Royal,Single-Family,588000.0,33
2020-10-01,2020,Plateau-Mont-Royal,Single-Family,609000.0,39
2020-11-07,2020,Plateau-Mont-Royal,Single-Family,698000.0,27
2020-01-20,2020,Plateau-Mont-Royal,Triplex,823000.0,40
2020-10-17,2020,Plateau-Mont-Royal,Triplex,880000.0,39
2020-06-25,2020,Plateau-Mont-Royal,Triplex,926000.0,41
2020-07-22,2020,Plateau-Mont-Royal,Triplex,721000.0,54
2020-07-13,2020,Plateau-Mont-Royal,Triplex,871000.0,28
2020-11-05,2020,Plateau-Mont-Royal,Triplex,989000.0,15
2020-09-01,2020,Plateau-Mont-Royal,Triplex,854000.0,32
2020-01-27,2020,Plateau-Mont-Royal,Triplex,859000.0,63
2020-04-07,2020,Plateau-Mont-Royal,Triplex,723000.0,57
2020-09-15,2020,Plateau-Mont-Royal,Triplex,820000.0,26
2020-08-25,2020,Plateau-Mont-Royal,Triplex,801000.0,21
2020-01-10,2020,Plateau-Mont-Royal,Triplex,826000.0,64
2020-05-09,2020,Plateau-Mont-Royal,Triplex,950000.0,27
2020-12-08,2020,Plateau-Mont-Royal,Triplex,938000.0,24
2020-07-22,2020,Plateau-Mont-Royal,Triplex,880000.0,44
2020-02-07,2020,Plateau-Mont-Royal,Triplex,833000.0,19
2020-01-16,2020,Plateau-Mont-Royal,Triplex,930000.0,43
2020-07-29,2020,Plateau-Mont-Royal,Triplex,743000.0,36
2020-04-24,2020,Plateau-Mont-Royal,Triplex,993000.0,27
2020-12-18,2020,Plateau-Mont-Royal,Triplex,900000.0,32
2020-06-10,2020,Ville-Marie,Condo,462000.0,22
2020-02-08,2020,Ville-Marie,Condo,490000.0,37
2020-01-29,2020,Ville-Marie,Condo,426000.0,34
2020-01-01,2020,Ville-Marie,Condo,481000.0,33
2020-03-31,2020,Ville-Marie,Condo,595000.0,45
2020-08-12,2020,Ville-Marie,Condo,421000.0,9
2020-05-10,2020,Ville-Marie,Condo,600000.0,43
2020-04-29,2020,Ville-Marie,Condo,466000.0,66
2020-07-05,2020,Ville-Marie,Condo,470000.0,39
2020-12-09,2020,Ville-Marie,Condo,349000.0,10
2020-11-04,2020,Ville-Marie,Condo,392000.0,44
2020-07-12,2020,Ville-Marie,Condo,583000.0,43
2020-06-11,2020,Ville-Marie,Condo,499000.0,21
2020-08-20,2020,Ville-Marie,Condo,494000.0,31
2020-12-21,2020,Ville-Marie,Condo,424000.0,33
2020-05-23,2020,Ville-Marie,Condo,617000.0,13
2020-02-10,2020,Ville-Marie,Condo,520000.0,19
2020-05-15,2020,Ville-Marie,Condo,563000.0,5
2020-10-17,2020,Ville-Marie,Condo,386000.0,43
2020-12-01,2020,Ville-Marie,Condo,449000.0,57
2020-10-27,2020,Ville-Marie,Duplex,734000.0,59
2020-05-01,2020,Ville-Marie,Duplex,751000.0,12
2020-12-16,2020,Ville-Marie,Duplex,722000.0,20
2020-02-24,2020,Ville-Marie,Duplex,817000.0,55
2020-10-10,2020,Ville-Marie,Duplex,764000.0,34
2020-01-13,2020,Ville-Marie,Duplex,752000.0,43
2020-11-28,2020,Ville-Marie,Duplex,918000.0,32
2020-01-19,2020,Ville-Marie,Duplex,997000.0,45
2020-01-12,2020,Ville-Marie,Duplex,764000.0,5
2020-12-11,2020,Ville-Marie,Duplex,697000.0,42
2020-04-08,2020,Ville-Marie,Duplex,762000.0,38
2020-09-25,2020,Ville-Marie,Duplex,789000.0,14
2020-12-13,2020,Ville-Marie,Duplex,709000.0,44
2020-02-13,2020,Ville-Marie,Duplex,846000.0,47
2020-09-29,2020,Ville-Marie,Duplex,772000.0,34
2020-06-30,2020,Ville-Marie,Duplex,823000.0,7
2020-08-03,2020,Ville-Marie,Duplex,866000.0,27
2020-12-29,2020,Ville-Marie,Duplex,982000.0,28
2020-02-03,2020,Ville-Marie,Duplex,825000.0,30
2020-04-15,2020,Ville-Marie,Duplex,678000.0,33
2020-04-16,2020,Ville-Marie,Single-Family,752000.0,35
2020-02-10,2020,Ville-Marie,Single-Family,729000.0,41
2020-10-26,2020,Ville-Marie,Single-Family,550000.0,32
2020-10-18,2020,Ville-Marie,Single-Family,618000.0,29
2020-01-28,2020,Ville-Marie,Single-Family,750000.0,14
2020-01-19,2020,Ville-Marie,Single-Family,650000.0,27
2020-12-09,2020,Ville-Marie,Single-Family,741000.0,46
2020-03-23,2020,Ville-Marie,Single-Family,747000.0,18
2020-07-01,2020,Ville-Marie,Single-Family,663000.0,12
2020-11-17,2020,Ville-Marie,Single-Family,515000.0,27
2020-04-19,2020,Ville-Marie,Single-Family,715000.0,50
2020-02-16,2020,Ville-Marie,Single-Family,577000.0,50
2020-01-30,2020,Ville-Marie,Single-Family,664000.0,25
2020-07-01,2020,Ville-Marie,Single-Family,663000.0,51
2020-10-23,2020,Ville-Marie,Single-Family,694000.0,29
2020-07-06,2020,Ville-Marie,Single-Family,628000.0,46
2020-09-04,2020,Ville-Marie,Single-Family,657000.0,45
2020-01-05,2020,Ville-Marie,Single-Family,708000.0,44
2020-12-28,2020,Ville-Marie,Single-Family,715000.0,29
2020-09-02,2020,Ville-Marie,Single-Family,619000.0,39
2020-05-09,2020,Ville-Marie,Triplex,1013000.0,21
2020-05-27,2020,Ville-Marie,Triplex,843000.0,31
2020-10-17,2020,Ville-Marie,Triplex,879000.0,41
2020-05-27,2020,Ville-Marie,Triplex,1031000.0,28
2020-09-13,2020,Ville-Marie,Triplex,870000.0,36
2020-12-15,2020,Ville-Marie,Triplex,1097000.0,36
2020-05-31,2020,Ville-Marie,Triplex,1043000.0,23
2020-05-13,2020,Ville-Marie,Triplex,937000.0,31
2020-02-12,2020,Ville-Marie,Triplex,1129000.0,20
2020-12-11,2020,Ville-Marie,Triplex,1058000.0,43
2020-06-28,2020,Ville-Marie,Triplex,1021000.0,27
2020-12-22,2020,Ville-Marie,Triplex,738000.0,40
2020-03-22,2020,Ville-Marie,Triplex,1118000.0,17
2020-05-15,2020,Ville-Marie,Triplex,1029000.0,51
2020-02-11,2020,Ville-Marie,Triplex,829000.0,34
2020-01-26,2020,Ville-Marie,Triplex,1040000.0,32
2020-04-06,2020,Ville-Marie,Triplex,849000.0,25
2020-02-10,2020,Ville-Marie,Triplex,1142000.0,26
2020-09-11,2020,Ville-Marie,Triplex,1199000.0,15
2020-07-01,2020,Ville-Marie,Triplex,961000.0,48
2020-03-12,2020,Rosemont,Condo,387000.0,59
2020-08-14,2020,Rosemont,Condo,406000.0,65
2020-08-14,2020,Rosemont,Condo,443000.0,53
2020-03-12,2020,Rosemont,Condo,375000.0,38
2020-03-21,2020,Rosemont,Condo,403000.0,50
2020-06-23,2020,Rosemont,Condo,395000.0,67
2020-08-24,2020,Rosemont,Condo,451000.0,36
2020-05-19,2020,Rosemont,Condo,460000.0,45
2020-05-04,2020,Rosemont,Condo,413000.0,40
2020-02-25,2020,Rosemont,Condo,418000.0,21
2020-09-05,2020,Rosemont,Condo,404000.0,64
2020-06-14,2020,Rosemont,Condo,426000.0,47
2020-11-29,2020,Rosemont,Condo,357000.0,80
2020-02-03,2020,Rosemont,Condo,337000.0,46
2020-01-07,2020,Rosemont,Condo,459000.0,36
2020-04-07,2020,Rosemont,Condo,362000.0,62
2020-08-29,2020,Rosemont,Condo,358000.0,61
2020-03-18,2020,Rosemont,Condo,381000.0,71
2020-06-15,2020,Rosemont,Condo,408000.0,51
2020-02-22,2020,Rosemont,Condo,378000.0,46
2020-05-28,2020,Rosemont,Duplex,552000.0,37
2020-09-30,2020,Rosemont,Duplex,633000.0,16
2020-05-10,2020,Rosemont,Duplex,557000.0,32
2020-11-22,2020,Rosemont,Duplex,518000.0,41
2020-01-07,2020,Rosemont,Duplex,661000.0,36
2020-05-14,2020,Rosemont,Duplex,576000.0,17
2020-12-19,2020,Rosemont,Duplex,539000.0,43
2020-05-10,2020,Rosemont,Duplex,557000.0,17
2020-06-08,2020,Rosemont,Duplex,601000.0,59
2020-06-03,2020,Rosemont,Duplex,621000.0,60
2020-04-01,2020,Rosemont,Duplex,524000.0,38
2020-10-16,2020,Rosemont,Duplex,654000.0,30
2020-02-17,2020,Rosemont,Duplex,545000.0,66
2020-06-28,2020,Rosemont,Duplex,721000.0,46
2020-12-18,2020,Rosemont,Duplex,507000.0,30
2020-10-23,2020,Rosemont,Duplex,626000.0,42
2020-03-22,2020,Rosemont,Duplex,495000.0,39
2020-12-11,2020,Rosemont,Duplex,733000.0,43
2020-10-20,2020,Rosemont,Duplex,548000.0,42
2020-08-05,2020,Rosemont,Duplex,640000.0,29
2020-11-05,2020,Rosemont,Single-Family,505000.0,35
2020-12-19,2020,Rosemont,Single-Family,587000.0,66
2020-05-24,2020,Rosemont,Single-Family,555000.0,40
2020-04-01,2020,Rosemont,Single-Family,516000.0,51
2020-06-17,2020,Rosemont,Single-Family,514000.0,69
2020-11-17,2020,Rosemont,Single-Family,563000.0,71
2020-05-15,2020,Rosemont,Single-Family,518000.0,39
2020-10-29,2020,Rosemont,Single-Family,451000.0,29
2020-06-01,2020,Rosemont,Single-Family,484000.0,49
2020-09-04,2020,Rosemont,Single-Family,565000.0,25
2020-05-14,2020,Rosemont,Single-Family,482000.0,47
2020-05-02,2020,Rosemont,Single-Family,594000.0,42
2020-06-23,2020,Rosemont,Single-Family,521000.0,43
2020-05-20,2020,Rosemont,Single-Family,456000.0,16
2020-01-21,2020,Rosemont,Single-Family,551000.0,61
2020-04-16,2020,Rosemont,Single-Family,572000.0,31
2020-10-12,2020,Rosemont,Single-Family,593000.0,24
2020-08-08,2020,Rosemont,Single-Family,518000.0,44
2020-03-17,2020,Rosemont,Single-Family,534000.0,53
2020-03-20,2020,Rosemont,Single-Family,624000.0,60
2020-11-16,2020,Rosemont,Triplex,736000.0,43
2020-08-16,2020,Rosemont,Triplex,822000.0,70
2020-10-07,2020,Rosemont,Triplex,744000.0,30
2020-11-09,2020,Rosemont,Triplex,856000.0,40
2020-09-13,2020,Rosemont,Triplex,926000.0,27
2020-06-07,2020,Rosemont,Triplex,580000.0,32
2020-06-24,2020,Rosemont,Triplex,804000.0,25
2020-01-18,2020,Rosemont,Triplex,726000.0,49
2020-04-25,2020,Rosemont,Triplex,711000.0,39
2020-04-03,2020,Rosemont,Triplex,890000.0,37
2020-10-13,2020,Rosemont,Triplex,742000.0,40
2020-06-27,2020,Rosemont,Triplex,903000.0,48
2020-10-11,2020,Rosemont,Triplex,770000.0,52
2020-01-03,2020,Rosemont,Triplex,886000.0,60
2020-09-16,2020,Rosemont,Triplex,754000.0,56
2020-02-26,2020,Rosemont,Triplex,724000.0,40
2020-12-30,2020,Rosemont,Triplex,724000.0,53
2020-05-17,2020,Rosemont,Triplex,607000.0,46
2020-04-15,2020,Rosemont,Triplex,768000.0,67
2020-02-28,2020,Rosemont,Triplex,690000.0,39
2020-04-26,2020,Outremont,Condo,436000.0,25
2020-10-01,2020,Outremont,Condo,473000.0,27
2020-11-11,2020,Outremont,Condo,461000.0,17
2020-08-26,2020,Outremont,Condo,401000.0,37
2020-10-23,2020,Outremont,Condo,448000.0,18
2020-02-02,2020,Outremont,Condo,444000.0,28
2020-09-04,2020,Outremont,Condo,451000.0,34
2020-10-04,2020,Outremont,Condo,473000.0,39
2020-10-21,2020,Outremont,Condo,450000.0,68
2020-06-25,2020,Outremont,Condo,501000.0,69
2020-10-11,2020,Outremont,Condo,444000.0,38
2020-09-24,2020,Outremont,Condo,459000.0,36
2020-08-04,2020,Outremont,Condo,445000.0,72
2020-09-28,2020,Outremont,Condo,376000.0,44
2020-01-27,2020,Outremont,Condo,466000.0,43
2020-01-26,2020,Outremont,Condo,495000.0,32
2020-01-10,2020,Outremont,Condo,301000.0,32
2020-04-21,2020,Outremont,Condo,387000.0,50
2020-06-04,2020,Outremont,Condo,457000.0,28
2020-10-15,2020,Outremont,Condo,547000.0,35
2020-06-22,2020,Outremont,Duplex,591000.0,72
2020-07-16,2020,Outremont,Duplex,680000.0,61
2020-10-05,2020,Outremont,Duplex,696000.0,28
2020-05-20,2020,Outremont,Duplex,697000.0,46
2020-01-14,2020,Outremont,Duplex,692000.0,28
2020-07-03,2020,Outremont,Duplex,654000.0,22
2020-06-23,2020,Outremont,Duplex,667000.0,52
2020-01-08,2020,Outremont,Duplex,842000.0,50
2020-09-27,2020,Outremont,Duplex,662000.0,60
2020-01-17,2020,Outremont,Duplex,721000.0,5
2020-05-28,2020,Outremont,Duplex,659000.0,53
2020-04-22,2020,Outremont,Duplex,886000.0,27
2020-08-21,2020,Outremont,Duplex,730000.0,34
2020-07-28,2020,Outremont,Duplex,672000.0,46
2020-11-11,2020,Outremont,Duplex,676000.0,18
2020-06-04,2020,Outremont,Duplex,761000.0,59
2020-11-29,2020,Outremont,Duplex,740000.0,45
2020-12-25,2020,Outremont,Duplex,820000.0,43
2020-09-25,2020,Outremont,Duplex,871000.0,47
2020-05-02,2020,Outremont,Duplex,686000.0,39
2020-07-04,2020,Outremont,Single-Family,614000.0,33
2020-12-01,2020,Outremont,Single-Family,713000.0,65
2020-12-02,2020,Outremont,Single-Family,621000.0,15
2020-11-04,2020,Outremont,Single-Family,603000.0,34
2020-04-12,2020,Outremont,Single-Family,721000.0,45
2020-04-11,2020,Outremont,Single-Family,630000.0,64
2020-11-10,2020,Outremont,Single-Family,597000.0,34
2020-10-05,2020,Outremont,Single-Family,537000.0,39
2020-11-04,2020,Outremont,Single-Family,880000.0,21
2020-02-15,2020,Outremont,Single-Family,504000.0,30
2020-04-04,2020,Outremont,Single-Family,503000.0,25
2020-11-30,2020,Outremont,Single-Family,731000.0,34
2020-02-13,2020,Outremont,Single-Family,670000.0,26
2020-04-30,2020,Outremont,Single-Family,604000.0,21
2020-09-27,2020,Outremont,Single-Family,630000.0,21
2020-10-02,2020,Outremont,Single-Family,746000.0,61
2020-06-12,2020,Outremont,Single-Family,541000.0,43
2020-04-28,2020,Outremont,Single-Family,585000.0,44
2020-09-28,2020,Outremont,Single-Family,692000.0,23
2020-03-19,2020,Outremont,Single-Family,710000.0,48
2020-03-29,2020,Outremont,Triplex,1007000.0,46
2020-09-21,2020,Outremont,Triplex,905000.0,32
2020-01-27,2020,Outremont,Triplex,947000.0,50
2020-12-28,2020,Outremont,Triplex,1003000.0,47
2020-01-06,2020,Outremont,Triplex,859000.0,23
2020-06-07,2020,Outremont,Triplex,1019000.0,29
2020-08-17,2020,Outremont,Triplex,789000.0,17
2020-05-12,2020,Outremont,Triplex,904000.0,44
2020-09-28,2020,Outremont,Triplex,886000.0,26
2020-10-14,2020,Outremont,Triplex,965000.0,65
2020-12-24,2020,Outremont,Triplex,948000.0,17
2020-09-03,2020,Outremont,Triplex,935000.0,51
2020-11-10,2020,Outremont,Triplex,941000.0,39
2020-10-03,2020,Outremont,Triplex,1016000.0,37
2020-11-22,2020,Outremont,Triplex,913000.0,46
2020-06-09,2020,Outremont,Triplex,821000.0,33
2020-02-19,2020,Outremont,Triplex,1100000.0,21
2020-07-27,2020,Outremont,Triplex,782000.0,52
2020-05-21,2020,Outremont,Triplex,932000.0,32
2020-01-10,2020,Outremont,Triplex,930000.0,38
2020-04-18,2020,Verdun,Condo,271000.0,54
2020-10-19,2020,Verdun,Condo,282000.0,57
2020-04-06,2020,Verdun,Condo,283000.0,68
2020-02-22,2020,Verdun,Condo,365000.0,73
2020-02-26,2020,Verdun,Condo,418000.0,67
2020-01-27,2020,Verdun,Condo,333000.0,38
2020-10-23,2020,Verdun,Condo,358000.0,31
2020-10-31,2020,Verdun,Condo,365000.0,25
2020-04-23,2020,Verdun,Condo,373000.0,16
2020-01-20,2020,Verdun,Condo,330000.0,28
2020-10-31,2020,Verdun,Condo,296000.0,22
2020-01-03,2020,Verdun,Condo,413000.0,61
2020-05-31,2020,Verdun,Condo,361000.0,65
2020-08-17,2020,Verdun,Condo,389000.0,8
2020-01-18,2020,Verdun,Condo,398000.0,43
2020-08-10,2020,Verdun,Condo,329000.0,57
2020-02-03,2020,Verdun,Condo,281000.0,36
2020-04-19,2020,Verdun,Condo,366000.0,67
2020-12-18,2020,Verdun,Condo,399000.0,44
2020-04-16,2020,Verdun,Condo,354000.0,68
2020-03-15,2020,Verdun,Duplex,625000.0,45
2020-10-09,2020,Verdun,Duplex,525000.0,45
2020-08-14,2020,Verdun,Duplex,550000.0,43
2020-03-08,2020,Verdun,Duplex,505000.0,60
2020-01-26,2020,Verdun,Duplex,467000.0,66
2020-04-07,2020,Verdun,Duplex,549000.0,27
2020-10-03,2020,Verdun,Duplex,589000.0,56
2020-09-24,2020,Verdun,Duplex,496000.0,20
2020-11-21,2020,Verdun,Duplex,574000.0,39
2020-09-11,2020,Verdun,Duplex,587000.0,39
2020-01-03,2020,Verdun,Duplex,546000.0,49
2020-06-30,2020,Verdun,Duplex,573000.0,44
2020-11-13,2020,Verdun,Duplex,602000.0,63
2020-12-07,2020,Verdun,Duplex,639000.0,56
2020-09-17,2020,Verdun,Duplex,563000.0,80
2020-04-30,2020,Verdun,Duplex,513000.0,51
2020-07-02,2020,Verdun,Duplex,563000.0,60
2020-09-10,2020,Verdun,Duplex,542000.0,48
2020-10-25,2020,Verdun,Duplex,672000.0,63
2020-07-05,2020,Verdun,Duplex,614000.0,52
2020-12-27,2020,Verdun,Single-Family,354000.0,36
2020-09-06,2020,Verdun,Single-Family,520000.0,34
2020-11-02,2020,Verdun,Single-Family,481000.0,46
2020-10-11,2020,Verdun,Single-Family,445000.0,15
2020-02-29,2020,Verdun,Single-Family,411000.0,43
2020-09-24,2020,Verdun,Single-Family,470000.0,60
2020-12-09,2020,Verdun,Single-Family,511000.0,55
2020-09-09,2020,Verdun,Single-Family,441000.0,57
2020-01-24,2020,Verdun,Single-Family,430000.0,11
2020-07-08,2020,Verdun,Single-Family,405000.0,69
2020-03-03,2020,Verdun,Single-Family,556000.0,48
2020-03-07,2020,Verdun,Single-Family,451000.0,62
2020-07-06,2020,Verdun,Single-Family,543000.0,59
2020-09-22,2020,Verdun,Single-Family,365000.0,35
2020-09-13,2020,Verdun,Single-Family,424000.0,70
2020-03-13,2020,Verdun,Single-Family,428000.0,67
2020-06-07,2020,Verdun,Single-Family,437000.0,55
2020-11-07,2020,Verdun,Single-Family,463000.0,15
2020-07-21,2020,Verdun,Single-Family,396000.0,47
2020-05-03,2020,Verdun,Single-Family,389000.0,6
2020-02-14,2020,Verdun,Triplex,637000.0,36
2020-07-27,2020,Verdun,Triplex,742000.0,47
2020-12-03,2020,Verdun,Triplex,721000.0,60
2020-07-20,2020,Verdun,Triplex,768000.0,41
2020-04-25,2020,Verdun,Triplex,537000.0,33
2020-10-17,2020,Verdun,Triplex,595000.0,38
2020-12-29,2020,Verdun,Triplex,599000.0,44
2020-01-21,2020,Verdun,Triplex,740000.0,67
2020-03-22,2020,Verdun,Triplex,649000.0,57
2020-06-21,2020,Verdun,Triplex,674000.0,50
2020-01-18,2020,Verdun,Triplex,576000.0,57
2020-01-17,2020,Verdun,Triplex,651000.0,48
2020-08-17,2020,Verdun,Triplex,732000.0,83
2020-12-05,2020,Verdun,Triplex,666000.0,75
2020-05-18,2020,Verdun,Triplex,903000.0,43
2020-08-01,2020,Verdun,Triplex,728000.0,52
2020-07-21,2020,Verdun,Triplex,604000.0,39
2020-10-18,2020,Verdun,Triplex,795000.0,48
2020-10-21,2020,Verdun,Triplex,585000.0,30
2020-01-02,2020,Verdun,Triplex,681000.0,31
2020-04-09,2020,Côte-des-Neiges,Condo,380000.0,38
2020-06-13,2020,Côte-des-Neiges,Condo,335000.0,47
2020-06-28,2020,Côte-des-Neiges,Condo,292000.0,57
2020-04-19,2020,Côte-des-Neiges,Condo,349000.0,27
2020-05-19,2020,Côte-des-Neiges,Condo,327000.0,26
2020-04-19,2020,Côte-des-Neiges,Condo,299000.0,75
2020-04-28,2020,Côte-des-Neiges,Condo,387000.0,60
2020-12-22,2020,Côte-des-Neiges,Condo,281000.0,96
2020-02-11,2020,Côte-des-Neiges,Condo,358000.0,53
2020-07-21,2020,Côte-des-Neiges,Condo,280000.0,57
2020-08-09,2020,Côte-des-Neiges,Condo,327000.0,45
2020-07-23,2020,Côte-des-Neiges,Condo,356000.0,52
2020-08-10,2020,Côte-des-Neiges,Condo,326000.0,57
2020-01-06,2020,Côte-des-Neiges,Condo,290000.0,36
2020-09-24,2020,Côte-des-Neiges,Condo,320000.0,55
2020-03-10,2020,Côte-des-Neiges,Condo,312000.0,34
2020-08-09,2020,Côte-des-Neiges,Condo,267000.0,14
2020-02-08,2020,Côte-des-Neiges,Condo,330000.0,59
2020-01-08,2020,Côte-des-Neiges,Condo,356000.0,47
2020-03-04,2020,Côte-des-Neiges,Condo,423000.0,78
2020-01-04,2020,Côte-des-Neiges,Duplex,497000.0,55
2020-12-02,2020,Côte-des-Neiges,Duplex,587000.0,35
2020-03-06,2020,Côte-des-Neiges,Duplex,462000.0,49
2020-02-11,2020,Côte-des-Neiges,Duplex,527000.0,33
2020-08-12,2020,Côte-des-Neiges,Duplex,467000.0,59
2020-06-16,2020,Côte-des-Neiges,Duplex,492000.0,35
2020-04-07,2020,Côte-des-Neiges,Duplex,381000.0,44
2020-09-16,2020,Côte-des-Neiges,Duplex,443000.0,70
2020-09-28,2020,Côte-des-Neiges,Duplex,518000.0,72
2020-02-13,2020,Côte-des-Neiges,Duplex,583000.0,60
2020-08-08,2020,Côte-des-Neiges,Duplex,528000.0,31
2020-09-06,2020,Côte-des-Neiges,Duplex,503000.0,52
2020-01-28,2020,Côte-des-Neiges,Duplex,551000.0,38
2020-03-11,2020,Côte-des-Neiges,Duplex,457000.0,59
2020-11-18,2020,Côte-des-Neiges,Duplex,582000.0,21
2020-08-01,2020,Côte-des-Neiges,Duplex,453000.0,51
2020-06-28,2020,Côte-des-Neiges,Duplex,482000.0,59
2020-04-16,2020,Côte-des-Neiges,Duplex,504000.0,54
2020-11-28,2020,Côte-des-Neiges,Duplex,477000.0,55
2020-06-29,2020,Côte-des-Neiges,Duplex,548000.0,55
2020-04-27,2020,Côte-des-Neiges,Single-Family,545000.0,61
2020-06-12,2020,Côte-des-Neiges,Single-Family,505000.0,40
2020-06-26,2020,Côte-des-Neiges,Single-Family,478000.0,66
2020-06-09,2020,Côte-des-Neiges,Single-Family,457000.0,47
2020-05-15,2020,Côte-des-Neiges,Single-Family,473000.0,50
2020-12-28,2020,Côte-des-Neiges,Single-Family,493000.0,55
2020-05-15,2020,Côte-des-Neiges,Single-Family,426000.0,43
2020-09-28,2020,Côte-des-Neiges,Single-Family,609000.0,35
2020-11-19,2020,Côte-des-Neiges,Single-Family,447000.0,32
2020-09-03,2020,Côte-des-Neiges,Single-Family,449000.0,71
2020-07-06,2020,Côte-des-Neiges,Single-Family,461000.0,47
2020-12-30,2020,Côte-des-Neiges,Single-Family,445000.0,74
2020-09-29,2020,Côte-des-Neiges,Single-Family,477000.0,62
2020-10-24,2020,Côte-des-Neiges,Single-Family,505000.0,45
2020-12-25,2020,Côte-des-Neiges,Single-Family,436000.0,42
2020-08-16,2020,Côte-des-Neiges,Single-Family,401000.0,50
2020-02-18,2020,Côte-des-Neiges,Single-Family,446000.0,22
2020-09-15,2020,Côte-des-Neiges,Single-Family,429000.0,35
2020-06-12,2020,Côte-des-Neiges,Single-Family,458000.0,39
2020-11-01,2020,Côte-des-Neiges,Single-Family,459000.0,63
2020-10-29,2020,Côte-des-Neiges,Triplex,686000.0,36
2020-07-26,2020,Côte-des-Neiges,Triplex,722000.0,42
2020-03-29,2020,Côte-des-Neiges,Triplex,678000.0,66
2020-12-09,2020,Côte-des-Neiges,Triplex,814000.0,53
2020-03-13,2020,Côte-des-Neiges,Triplex,666000.0,46
2020-07-29,2020,Côte-des-Neiges,Triplex,520000.0,60
